eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step
0.7748222947120667,16.4367,13.141,6.571,0.23148148148148148,50
0.3912919759750366,17.3186,12.472,6.236,0.46296296296296297,100
0.24433870613574982,17.0135,12.696,6.348,0.6944444444444444,150
0.1623121201992035,17.3096,12.479,6.239,0.9259259259259259,200
0.1210787296295166,24.3243,8.88,4.44,1.1574074074074074,250
0.08259838819503784,17.1672,12.582,6.291,1.3888888888888888,300
0.06719741225242615,19.2958,11.194,5.597,1.6203703703703702,350
0.057977158576250076,17.2496,12.522,6.261,1.8518518518518519,400
0.0521850660443306,17.2232,12.541,6.271,2.0833333333333335,450
0.04721498861908913,17.2064,12.553,6.277,2.314814814814815,500
0.04537342116236687,17.235,12.533,6.266,2.5462962962962963,550
0.04436798766255379,17.3335,12.461,6.231,2.7777777777777777,600
