iteration,game_number,winner,total_moves,player_1_moves,player_minus1_moves,player_1_time_seconds,player_minus1_time_seconds,final_pieces_p1,final_pieces_p_1
31,1,0,50,25,25,2.868,2.677,8,8
31,2,0,50,25,25,2.097,1.972,8,8
31,3,0,50,25,25,2.454,2.695,8,8
31,4,0,50,25,25,2.814,2.781,8,8
31,5,0,50,25,25,2.104,2.051,8,8
31,6,1,127,64,63,6.102,6.129,5,3
31,7,1,79,40,39,3.635,3.483,8,7
31,8,0,50,25,25,2.778,2.511,8,8
31,9,-1,102,51,51,4.768,4.777,5,7
31,10,1,99,50,49,4.819,4.414,8,6
31,11,1,120,60,60,5.79,5.752,5,3
31,12,0,50,25,25,2.12,2.017,8,8
31,13,1,57,29,28,3.485,2.972,8,7
31,14,1,105,53,52,4.963,4.781,8,6
31,15,-1,106,53,53,5.084,4.823,4,7
31,16,0,114,57,57,5.746,5.767,7,7
31,17,-1,191,96,95,8.875,9.085,2,3
31,18,1,105,53,52,5.657,5.394,8,6
31,19,0,50,25,25,2.449,2.46,8,8
31,20,1,155,78,77,7.893,8.149,5,0
32,1,0,50,25,25,2.139,2.122,8,8
32,2,1,109,55,54,5.552,5.43,8,6
32,3,1,71,36,35,3.905,4.002,8,7
32,4,0,50,25,25,2.253,2.04,8,8
32,5,-1,226,113,113,10.838,11.146,1,3
32,6,-1,68,34,34,3.258,3.164,7,8
32,7,0,100,50,50,4.982,5.199,7,7
32,8,1,151,76,75,7.675,7.486,5,4
32,9,-1,138,69,69,6.803,6.606,0,6
32,10,1,57,29,28,2.587,2.721,8,7
32,11,0,50,25,25,2.331,2.239,8,8
32,12,1,61,31,30,3.271,3.155,8,7
32,13,0,50,25,25,2.089,2.052,8,8
32,14,0,71,36,35,3.832,3.89,7,7
32,15,1,73,37,36,3.078,2.951,8,7
32,16,1,129,65,64,6.641,6.293,8,4
32,17,1,99,50,49,5.07,4.985,7,5
32,18,1,161,81,80,7.942,7.397,7,1
32,19,1,57,29,28,2.791,2.392,8,7
32,20,0,50,25,25,2.806,2.795,8,8
33,1,0,50,25,25,2.236,2.153,8,8
33,2,0,50,25,25,2.858,2.807,8,8
33,3,-1,338,169,169,15.963,16.128,1,2
33,4,1,117,59,58,5.743,5.638,6,4
33,5,0,62,31,31,2.712,2.521,7,7
33,6,0,50,25,25,2.711,2.786,8,8
33,7,0,50,25,25,2.331,2.157,8,8
33,8,-1,120,60,60,6.104,5.663,4,6
33,9,0,50,25,25,2.091,2.0,8,8
33,10,1,131,66,65,6.305,6.023,6,4
33,11,1,75,38,37,3.473,3.687,8,7
33,12,0,50,25,25,2.629,2.63,8,8
33,13,0,50,25,25,2.244,2.232,8,8
33,14,0,50,25,25,2.527,2.705,8,8
33,15,0,50,25,25,2.421,2.419,8,8
33,16,0,50,25,25,2.119,2.022,8,8
33,17,0,50,25,25,2.652,2.522,8,8
33,18,1,63,32,31,3.351,2.944,8,7
33,19,0,50,25,25,2.256,2.115,8,8
33,20,1,55,28,27,3.108,3.007,8,7
34,1,-1,172,86,86,8.289,7.898,0,3
34,2,-1,222,111,111,10.921,11.258,2,5
34,3,1,59,30,29,2.588,2.543,8,7
34,4,-1,96,48,48,5.017,4.606,7,8
34,5,1,217,109,108,10.754,10.667,5,4
34,6,-1,110,55,55,5.857,5.777,5,7
34,7,-1,119,60,59,5.892,6.142,4,7
34,8,1,73,37,36,3.693,3.841,8,6
34,9,-1,188,94,94,9.161,9.354,0,5
34,10,-1,155,78,77,7.397,7.888,2,3
34,11,1,141,71,70,6.97,7.18,7,5
34,12,-1,84,42,42,4.21,3.98,7,8
34,13,0,50,25,25,2.762,2.627,8,8
34,14,1,127,64,63,6.785,6.197,7,6
34,15,-1,122,61,61,6.168,6.332,4,5
34,16,1,123,62,61,5.895,5.788,8,5
34,17,-1,158,79,79,8.238,8.09,1,5
34,18,-1,62,31,31,2.872,2.77,7,8
34,19,1,69,35,34,4.128,3.787,8,7
34,20,-1,210,105,105,10.441,10.521,2,3
35,1,0,50,25,25,2.745,2.857,8,8
35,2,0,50,25,25,2.3,2.286,8,8
35,3,1,237,119,118,12.311,12.408,3,1
35,4,1,73,37,36,3.481,3.35,8,7
35,5,0,50,25,25,2.825,2.75,8,8
35,6,1,129,65,64,6.666,6.786,7,6
35,7,0,50,25,25,2.242,2.25,8,8
35,8,1,87,44,43,4.818,4.91,8,6
35,9,-1,179,90,89,8.849,8.818,3,6
35,10,0,50,25,25,2.215,2.312,8,8
35,11,0,50,25,25,2.884,2.817,8,8
35,12,1,222,111,111,10.949,10.386,4,2
35,13,1,77,39,38,4.2,4.412,7,6
35,14,1,69,35,34,3.149,3.0,8,7
35,15,0,50,25,25,3.176,2.807,8,8
35,16,0,50,25,25,2.277,2.144,8,8
35,17,1,153,77,76,7.914,7.415,6,4
35,18,0,144,72,72,7.185,6.896,5,5
35,19,1,199,100,99,10.304,10.274,5,2
35,20,-1,152,76,76,7.428,7.703,0,7
