iteration,game_number,winner,total_moves,player_1_moves,player_minus1_moves,player_1_time_seconds,player_minus1_time_seconds,final_pieces_p1,final_pieces_p_1
26,1,1,113,57,56,5.476,5.06,6,4
26,2,-1,178,89,89,8.667,8.504,0,6
26,3,0,120,60,60,5.698,5.663,6,6
26,4,0,50,25,25,2.357,2.25,8,8
26,5,1,81,41,40,3.862,3.556,7,5
26,6,-1,198,99,99,9.677,9.682,0,6
26,7,0,50,25,25,2.118,1.993,8,8
26,8,1,77,39,38,4.101,3.959,8,7
26,9,0,50,25,25,2.044,2.212,8,8
26,10,1,85,43,42,4.44,4.325,8,7
26,11,1,71,36,35,3.12,2.932,8,7
26,12,1,99,50,49,4.916,5.113,6,5
26,13,-1,160,80,80,7.767,7.662,0,6
26,14,-1,174,87,87,8.275,8.319,1,5
26,15,1,119,60,59,5.993,5.813,7,6
26,16,1,73,37,36,3.386,3.515,8,6
26,17,0,50,25,25,2.649,2.604,8,8
26,18,1,69,35,34,3.058,2.91,8,7
26,19,-1,125,63,62,6.483,6.241,3,6
26,20,1,157,79,78,7.347,7.689,4,3
27,1,1,207,104,103,9.562,9.293,5,2
27,2,1,59,30,29,2.486,2.386,8,7
27,3,-1,181,91,90,8.851,8.951,4,6
27,4,-1,202,101,101,9.255,9.387,0,3
27,5,-1,146,73,73,6.707,6.664,1,3
27,6,1,231,116,115,11.664,11.002,5,2
27,7,1,67,34,33,3.132,2.793,8,7
27,8,0,50,25,25,2.096,2.093,8,8
27,9,0,60,30,30,3.229,3.207,7,7
27,10,1,224,112,112,10.445,9.852,5,3
27,11,1,81,41,40,4.498,4.096,8,7
27,12,1,205,103,102,9.404,9.732,5,3
27,13,-1,240,120,120,11.466,11.249,0,3
27,14,-1,208,104,104,9.414,9.275,1,2
27,15,1,215,108,107,10.59,10.516,5,1
27,16,1,91,46,45,3.9,3.984,8,6
27,17,-1,254,127,127,11.874,12.326,1,6
27,18,1,191,96,95,8.8,9.208,4,3
27,19,1,141,71,70,6.823,6.769,7,5
27,20,-1,195,98,97,9.621,9.97,2,5
28,1,-1,140,70,70,6.637,6.604,3,5
28,2,-1,82,41,41,4.213,4.455,6,8
28,3,0,72,36,36,3.043,3.051,7,7
28,4,1,125,63,62,6.342,5.863,7,5
28,5,1,107,54,53,5.321,5.289,5,4
28,6,0,50,25,25,2.355,2.042,8,8
28,7,1,139,70,69,6.74,6.584,4,1
28,8,0,50,25,25,2.207,2.155,8,8
28,9,0,50,25,25,3.08,2.777,8,8
28,10,0,94,47,47,4.226,4.044,7,7
28,11,1,85,43,42,4.556,4.66,8,7
28,12,1,83,42,41,4.336,4.197,8,7
28,13,0,50,25,25,2.307,2.154,8,8
28,14,1,141,71,70,7.037,6.844,5,4
28,15,0,50,25,25,2.161,2.014,8,8
28,16,1,144,72,72,6.907,6.891,6,3
28,17,1,211,106,105,10.753,10.629,6,2
28,18,1,77,39,38,3.675,3.396,8,7
28,19,1,153,77,76,7.521,7.152,6,3
28,20,1,69,35,34,3.83,3.691,8,7
29,1,-1,226,113,113,11.249,11.468,1,2
29,2,-1,172,86,86,8.44,8.242,4,7
29,3,0,50,25,25,2.167,2.09,8,8
29,4,1,143,72,71,7.382,6.994,7,5
29,5,1,97,49,48,4.968,5.276,7,6
29,6,1,229,115,114,11.144,11.768,2,0
29,7,1,195,98,97,9.247,9.062,4,2
29,8,0,50,25,25,2.151,2.323,8,8
29,9,0,50,25,25,2.971,2.922,8,8
29,10,1,119,60,59,5.903,5.667,7,0
29,11,0,102,51,51,4.907,4.768,7,7
29,12,0,50,25,25,2.607,2.538,8,8
29,13,1,57,29,28,2.97,2.57,8,7
29,14,0,50,25,25,2.086,2.083,8,8
29,15,-1,102,51,51,5.205,5.376,5,7
29,16,0,50,25,25,2.357,2.349,8,8
29,17,0,50,25,25,2.845,2.836,8,8
29,18,1,67,34,33,3.17,2.919,8,6
29,19,0,111,56,55,5.934,5.744,7,7
29,20,1,209,105,104,10.58,10.149,3,0
30,1,0,50,25,25,2.223,2.063,8,8
30,2,1,61,31,30,3.473,3.11,8,7
30,3,1,101,51,50,4.643,4.527,8,6
30,4,0,81,41,40,4.543,4.325,7,7
30,5,1,81,41,40,3.77,3.565,8,7
30,6,-1,129,65,64,6.241,6.371,4,7
30,7,0,83,42,41,4.393,4.182,7,7
30,8,1,63,32,31,2.976,2.675,8,6
30,9,0,50,25,25,2.877,2.746,8,8
30,10,0,50,25,25,2.223,2.068,8,8
30,11,0,50,25,25,2.17,2.274,8,8
30,12,-1,74,37,37,4.113,3.919,7,8
30,13,1,63,32,31,2.779,2.69,8,7
30,14,0,50,25,25,2.892,2.955,8,8
30,15,-1,66,33,33,2.947,2.828,7,8
30,16,-1,128,64,64,6.051,6.481,1,8
30,17,1,61,31,30,2.862,2.808,8,7
30,18,-1,112,56,56,5.245,5.202,0,4
30,19,1,61,31,30,3.401,3.491,8,7
30,20,0,117,59,58,5.659,5.625,7,7
