iteration,game_number,move_number,player,from_row,from_col,to_row,to_col,action_id
26,1,1,1,0,6,2,6,406
26,1,2,-1,7,7,3,7,4063
26,1,3,1,0,3,3,3,219
26,1,4,-1,7,4,2,4,3860
26,1,5,1,2,6,4,6,1446
26,1,6,-1,3,7,3,6,2014
26,1,7,1,0,4,1,4,268
26,1,8,-1,7,0,2,0,3600
26,1,9,1,3,3,3,4,1756
26,1,10,-1,3,6,2,6,1942
26,1,11,1,0,0,1,0,8
26,1,12,-1,7,3,6,3,3827
26,1,13,1,0,1,1,1,73
26,1,14,-1,7,5,6,5,3957
26,1,15,1,3,4,3,6,1822
26,1,16,-1,2,6,1,6,1422
26,1,17,1,1,1,4,1,609
26,1,18,-1,6,5,6,7,3447
26,1,19,1,4,1,4,0,2144
26,1,20,-1,1,6,0,6,902
26,1,21,1,1,4,1,5,781
26,1,22,-1,6,3,6,1,3313
26,1,23,1,0,2,1,2,138
26,1,24,-1,0,6,1,6,398
26,1,25,1,0,5,0,4,324
26,1,26,-1,7,6,7,4,4028
26,1,27,1,4,0,5,0,2088
26,1,28,-1,6,7,6,5,3573
26,1,29,1,0,4,1,4,268
26,1,30,-1,7,2,4,2,3746
26,1,31,1,0,7,1,7,463
26,1,32,-1,7,4,5,4,3884
26,1,33,1,1,5,2,5,853
26,1,34,-1,6,5,6,7,3447
26,1,35,1,1,0,0,0,512
26,1,36,-1,6,7,6,2,3570
26,1,37,1,0,0,1,0,8
26,1,38,-1,5,4,5,7,2863
26,1,39,1,1,0,0,0,512
26,1,40,-1,5,7,6,7,3063
26,1,41,1,0,0,1,0,8
26,1,42,-1,7,1,7,5,3709
26,1,43,1,1,0,0,0,512
26,1,44,-1,6,2,5,2,3242
26,1,45,1,1,2,1,3,651
26,1,46,-1,7,5,7,1,3961
26,1,47,1,0,0,1,0,8
26,1,48,-1,6,7,4,7,3559
26,1,49,1,1,0,0,0,512
26,1,50,-1,7,1,7,7,3711
26,1,51,1,0,0,1,0,8
26,1,52,-1,6,1,7,1,3193
26,1,53,1,1,0,0,0,512
26,1,54,-1,7,7,6,7,4087
26,1,55,1,0,0,1,0,8
26,1,56,-1,4,2,4,6,2214
26,1,57,1,1,0,0,0,512
26,1,58,-1,7,1,7,4,3708
26,1,59,1,0,0,1,0,8
26,1,60,-1,4,6,4,3,2467
26,1,61,1,1,0,0,0,512
26,1,62,-1,4,3,4,0,2272
26,1,63,1,0,0,1,0,8
26,1,64,-1,4,7,4,6,2534
26,1,65,1,1,0,0,0,512
26,1,66,-1,4,6,5,6,2478
26,1,67,1,0,0,1,0,8
26,1,68,-1,7,4,7,1,3897
26,1,69,1,1,0,0,0,512
26,1,70,-1,5,6,5,4,2988
26,1,71,1,0,0,1,0,8
26,1,72,-1,5,2,5,3,2731
26,1,73,1,1,0,0,0,512
26,1,74,-1,5,4,2,4,2836
26,1,75,1,0,0,1,0,8
26,1,76,-1,6,7,3,7,3551
26,1,77,1,1,0,0,0,512
26,1,78,-1,2,4,7,4,1340
26,1,79,1,0,0,1,0,8
26,1,80,-1,3,7,3,1,2009
26,1,81,1,1,0,0,0,512
26,1,82,-1,7,4,7,7,3903
26,1,83,1,0,0,1,0,8
26,1,84,-1,5,3,2,3,2771
26,1,85,1,1,0,0,0,512
26,1,86,-1,2,3,5,3,1259
26,1,87,1,0,0,1,0,8
26,1,88,-1,7,1,7,3,3707
26,1,89,1,1,0,0,0,512
26,1,90,-1,7,3,7,2,3834
26,1,91,1,0,0,1,0,8
26,1,92,-1,5,3,4,3,2787
26,1,93,1,1,0,0,0,512
26,1,94,-1,7,7,7,3,4091
26,1,95,1,0,0,1,0,8
26,1,96,-1,3,1,4,1,1633
26,1,97,1,1,0,0,0,512
26,1,98,-1,4,1,3,1,2137
26,1,99,1,0,0,1,0,8
26,1,100,-1,7,3,5,3,3819
26,1,101,1,1,0,0,0,512
26,1,102,-1,4,3,4,5,2277
26,1,103,1,0,0,1,0,8
26,1,104,-1,3,1,3,6,1630
26,1,105,1,1,0,0,0,512
26,1,106,-1,7,2,6,2,3762
26,1,107,1,0,0,1,0,8
26,1,108,-1,5,3,5,6,2798
26,1,109,1,1,0,0,0,512
26,1,110,-1,4,5,4,7,2407
26,1,111,1,0,0,1,0,8
26,1,112,-1,5,6,6,6,2998
26,1,113,1,1,0,0,0,512
26,2,1,1,0,6,2,6,406
26,2,2,-1,7,4,1,4,3852
26,2,3,1,0,3,3,3,219
26,2,4,-1,7,2,2,2,3730
26,2,5,1,0,0,1,0,8
26,2,6,-1,7,7,6,7,4087
26,2,7,1,0,1,1,1,73
26,2,8,-1,7,5,6,5,3957
26,2,9,1,3,3,3,4,1756
26,2,10,-1,7,3,3,3,3803
26,2,11,1,0,2,1,2,138
26,2,12,-1,3,3,3,2,1754
26,2,13,1,0,4,1,4,268
26,2,14,-1,7,6,6,6,4022
26,2,15,1,0,5,1,5,333
26,2,16,-1,6,6,3,6,3486
26,2,17,1,0,7,1,7,463
26,2,18,-1,7,1,7,7,3711
26,2,19,1,2,6,2,5,1429
26,2,20,-1,7,7,7,6,4094
26,2,21,1,1,0,0,0,512
26,2,22,-1,7,6,7,4,4028
26,2,23,1,0,0,1,0,8
