iteration,game_number,winner,total_moves,player_1_moves,player_minus1_moves,player_1_time_seconds,player_minus1_time_seconds,final_pieces_p1,final_pieces_p_1
46,1,0,89,45,44,4.365,4.725,6,6
46,2,-1,220,110,110,11.838,11.863,2,3
46,3,1,59,30,29,7.029,6.757,8,7
46,4,1,183,92,91,9.78,9.419,4,0
46,5,-1,54,27,27,3.372,3.306,7,8
46,6,-1,264,132,132,14.403,14.207,2,4
46,7,1,245,123,122,13.499,13.155,3,1
46,8,1,151,76,75,8.479,7.998,6,4
46,9,0,50,25,25,2.526,2.443,8,8
46,10,-1,178,89,89,10.601,10.247,4,5
46,11,0,50,25,25,2.502,2.37,8,8
46,12,-1,58,29,29,3.769,3.606,7,8
46,13,1,57,29,28,2.857,2.981,8,7
46,14,-1,140,70,70,7.691,7.55,3,6
46,15,1,353,177,176,19.632,19.301,2,0
46,16,0,64,32,32,3.728,3.716,7,7
46,17,1,113,57,56,5.883,6.037,7,4
46,18,1,111,56,55,5.807,5.583,5,4
46,19,1,163,82,81,9.632,9.066,6,1
46,20,0,50,25,25,2.384,2.3,8,8
47,1,1,119,60,59,6.749,6.858,7,6
47,2,-1,80,40,40,4.098,3.838,7,8
47,3,0,50,25,25,3.384,3.09,8,8
47,4,1,249,125,124,13.591,13.058,4,1
47,5,1,110,55,55,5.632,5.45,6,5
47,6,1,129,65,64,7.931,7.493,7,6
47,7,-1,120,60,60,6.669,6.712,6,7
47,8,0,64,32,32,3.781,3.554,7,7
47,9,-1,76,38,38,4.384,4.533,5,8
47,10,0,50,25,25,2.438,2.393,8,8
47,11,0,146,73,73,8.146,7.857,2,2
47,12,0,50,25,25,3.279,3.159,8,8
47,13,0,50,25,25,2.747,2.404,8,8
47,14,1,249,125,124,14.299,13.54,7,2
47,15,0,50,25,25,2.698,2.639,8,8
47,16,1,115,58,57,6.582,6.168,7,5
47,17,-1,201,101,100,10.816,10.949,2,3
47,18,1,137,69,68,7.795,7.373,8,3
47,19,0,50,25,25,2.942,2.931,8,8
47,20,-1,156,78,78,8.873,8.63,2,4
48,1,0,50,25,25,2.718,2.494,8,8
48,2,1,143,72,71,7.968,8.023,5,0
48,3,1,137,69,68,7.652,7.549,7,6
48,4,1,59,30,29,3.975,3.59,8,7
48,5,0,50,25,25,2.435,2.443,8,8
48,6,-1,174,87,87,10.223,10.464,2,5
48,7,-1,90,45,45,4.573,4.366,7,8
48,8,-1,134,67,67,7.889,7.688,4,6
48,9,1,127,64,63,7.26,7.386,6,4
48,10,0,50,25,25,2.805,2.726,8,8
48,11,0,50,25,25,2.582,2.384,8,8
48,12,-1,80,40,40,4.65,4.999,5,8
48,13,1,59,30,29,3.245,3.078,8,7
48,14,1,55,28,27,3.224,3.168,8,7
48,15,1,59,30,29,2.969,2.867,8,7
48,16,-1,121,61,60,7.048,6.648,3,5
48,17,-1,86,43,43,4.963,5.26,4,7
48,18,-1,156,78,78,8.601,8.418,4,7
48,19,1,165,83,82,10.149,9.535,6,3
48,20,-1,92,46,46,5.564,5.074,7,8
49,1,0,50,25,25,2.469,2.461,8,8
49,2,1,219,110,109,12.045,12.432,3,2
49,3,-1,96,48,48,5.413,5.425,6,7
49,4,0,50,25,25,2.486,2.457,8,8
49,5,1,155,78,77,8.5,8.539,7,0
49,6,1,113,57,56,6.572,6.038,8,5
49,7,1,197,99,98,11.246,10.989,3,1
49,8,1,155,78,77,8.321,8.373,4,3
49,9,-1,212,106,106,11.735,11.884,2,3
49,10,1,122,61,61,6.624,6.61,6,4
49,11,0,190,95,95,10.347,10.064,3,3
49,12,0,50,25,25,3.198,3.462,8,8
49,13,-1,188,94,94,9.74,10.328,1,6
49,14,0,226,113,113,12.363,12.128,2,2
49,15,0,50,25,25,2.364,2.596,8,8
49,16,0,50,25,25,3.233,3.08,8,8
49,17,1,247,124,123,13.737,13.313,2,0
49,18,1,99,50,49,5.084,5.254,8,6
49,19,0,50,25,25,2.825,2.83,8,8
49,20,1,318,159,159,17.194,16.687,3,2
