iteration,game_number,move_number,player,from_row,from_col,to_row,to_col,action_id
36,1,1,1,0,6,2,6,406
36,1,2,-1,7,5,2,5,3925
36,1,3,1,0,0,1,0,8
36,1,4,-1,2,5,7,5,1405
36,1,5,1,0,1,1,1,73
36,1,6,-1,7,1,6,1,3697
36,1,7,1,2,6,3,6,1438
36,1,8,-1,7,7,6,7,4087
36,1,9,1,0,2,1,2,138
36,1,10,-1,6,1,4,1,3169
36,1,11,1,1,2,3,2,666
36,1,12,-1,7,4,4,4,3876
36,1,13,1,3,2,2,2,1682
36,1,14,-1,4,4,4,2,2338
36,1,15,1,0,7,1,7,463
36,1,16,-1,6,7,6,2,3570
36,1,17,1,0,3,1,3,203
36,1,18,-1,6,2,5,2,3242
36,1,19,1,0,4,1,4,268
36,1,20,-1,5,2,5,4,2732
36,1,21,1,3,6,3,4,1948
36,1,22,-1,7,0,7,1,3641
36,1,23,1,1,0,0,0,512
36,1,24,-1,7,5,4,5,3941
36,1,25,1,0,0,1,0,8
36,1,26,-1,7,6,7,5,4029
36,1,27,1,0,5,1,5,333
36,1,28,-1,5,4,5,2,2858
36,1,29,1,1,5,2,5,853
36,1,30,-1,5,2,5,4,2732
36,1,31,1,2,5,2,3,1363
36,1,32,-1,7,2,5,2,3754
36,1,33,1,1,0,0,0,512
36,1,34,-1,4,1,3,1,2137
36,1,35,1,0,0,1,0,8
36,1,36,-1,3,1,2,1,1617
36,1,37,1,1,0,0,0,512
36,1,38,-1,2,1,3,1,1113
36,1,39,1,3,4,3,7,1823
36,1,40,-1,5,4,2,4,2836
36,1,41,1,0,0,1,0,8
36,1,42,-1,3,1,2,1,1617
36,1,43,1,3,7,3,0,2008
36,1,44,-1,2,1,3,1,1113
36,1,45,1,1,7,3,7,991
36,1,46,-1,4,2,4,3,2211
36,1,47,1,1,0,0,0,512
36,1,48,-1,2,4,3,4,1308
36,1,49,1,0,0,1,0,8
36,1,50,-1,4,3,3,3,2267
36,1,51,1,1,1,0,1,577
36,1,52,-1,3,3,3,1,1753
36,1,53,1,1,0,0,0,512
36,1,54,-1,4,5,1,5,2381
36,1,55,1,0,0,1,0,8
36,1,56,-1,7,5,3,5,3933
36,1,57,1,0,1,1,1,73
36,1,58,-1,1,5,2,5,853
36,1,59,1,1,0,0,0,512
36,1,60,-1,3,5,7,5,1917
36,1,61,1,0,0,1,0,8
36,1,62,-1,2,5,2,3,1363
36,1,63,1,1,0,0,0,512
36,1,64,-1,7,5,7,7,3967
36,1,65,1,0,0,1,0,8
36,1,66,-1,7,7,5,7,4079
36,1,67,1,3,7,3,5,2013
36,1,68,-1,7,3,6,3,3827
36,1,69,1,1,0,0,0,512
36,1,70,-1,5,7,7,7,3071
36,1,71,1,0,0,1,0,8
36,1,72,-1,6,3,6,7,3319
36,1,73,1,1,0,0,0,512
36,1,74,-1,7,1,7,5,3709
36,1,75,1,0,0,1,0,8
36,1,76,-1,5,2,5,3,2731
36,1,77,1,1,0,0,0,512
36,1,78,-1,5,3,6,3,2803
36,1,79,1,0,0,1,0,8
36,1,80,-1,2,3,4,3,1251
36,1,81,1,1,0,0,0,512
36,1,82,-1,6,3,6,2,3314
36,1,83,1,0,0,1,0,8
36,1,84,-1,7,5,7,6,3966
36,1,85,1,1,0,0,0,512
36,1,86,-1,7,6,7,3,4027
36,1,87,1,0,0,1,0,8
36,1,88,-1,4,3,4,7,2279
36,1,89,1,1,0,0,0,512
36,1,90,-1,6,2,6,0,3248
36,1,91,1,3,5,3,1,1881
36,1,92,-1,4,7,4,0,2528
36,1,93,1,3,1,3,7,1631
36,1,94,-1,7,3,7,2,3834
36,1,95,1,0,0,1,0,8
36,1,96,-1,6,7,4,7,3559
36,1,97,1,1,0,0,0,512
36,1,98,-1,6,0,6,5,3125
36,1,99,1,0,0,1,0,8
36,1,100,-1,7,2,4,2,3746
36,1,101,1,1,0,0,0,512
36,1,102,-1,4,0,5,0,2088
36,1,103,1,0,0,1,0,8
36,1,104,-1,4,2,6,2,2226
36,1,105,1,1,0,0,0,512
36,1,106,-1,7,7,6,7,4087
36,1,107,1,0,0,1,0,8
36,1,108,-1,6,2,5,2,3242
36,1,109,1,1,0,0,0,512
36,1,110,-1,4,7,4,1,2529
36,1,111,1,0,0,1,0,8
36,1,112,-1,6,5,2,5,3413
36,1,113,1,1,0,0,0,512
36,1,114,-1,5,2,5,6,2734
36,1,115,1,0,0,1,0,8
36,1,116,-1,5,6,5,2,2986
36,1,117,1,1,0,0,0,512
36,2,1,1,0,6,2,6,406
36,2,2,-1,7,2,3,2,3738
36,2,3,1,0,4,1,4,268
36,2,4,-1,7,0,2,0,3600
36,2,5,1,0,0,1,0,8
36,2,6,-1,7,6,6,6,4022
36,2,7,1,2,6,3,6,1438
36,2,8,-1,7,3,5,3,3819
36,2,9,1,0,1,1,1,73
36,2,10,-1,7,5,4,5,3941
36,2,11,1,0,2,0,1,129
36,2,12,-1,4,5,5,5,2413
36,2,13,1,0,1,0,0,64
36,2,14,-1,5,5,5,6,2926
36,2,15,1,0,0,0,1,1
36,2,16,-1,7,7,5,7,4079
36,2,17,1,0,1,0,0,64
36,2,18,-1,7,4,7,7,3903
36,2,19,1,0,0,0,1,1
36,2,20,-1,5,3,2,3,2771
36,2,21,1,0,1,0,0,64
36,2,22,-1,5,6,5,3,2987
36,2,23,1,0,0,0,1,1
36,2,24,-1,2,0,3,0,1048
36,2,25,1,0,1,0,0,64
36,2,26,-1,7,7,7,6,4094
36,2,27,1,0,0,0,1,1
36,2,28,-1,6,6,6,2,3506
36,2,29,1,0,1,0,0,64
36,2,30,-1,7,1,7,5,3709
36,2,31,1,0,0,0,1,1
36,2,32,-1,5,7,2,7,3031
36,2,33,1,0,1,0,0,64
36,2,34,-1,5,3,6,3,2803
36,2,35,1,0,0,0,1,1
36,2,36,-1,2,3,3,3,1243
36,2,37,1,0,1,0,0,64
36,2,38,-1,6,2,4,2,3234
36,2,39,1,0,0,0,1,1
36,2,40,-1,4,2,4,6,2214
36,2,41,1,0,1,0,0,64
36,2,42,-1,6,3,6,4,3316
36,2,43,1,0,0,0,1,1
36,2,44,-1,2,7,1,7,1487
36,2,45,1,0,1,0,0,64
36,2,46,-1,7,5,6,5,3957
36,2,47,1,0,0,0,1,1
36,2,48,-1,1,7,2,7,983
36,2,49,1,0,1,0,0,64
36,2,50,-1,6,5,6,7,3447
36,3,1,1,0,6,2,6,406
36,3,2,-1,7,7,5,7,4079
36,3,3,1,0,3,3,3,219
36,3,4,-1,7,0,3,0,3608
36,3,5,1,0,0,1,0,8
36,3,6,-1,7,2,3,2,3738
36,3,7,1,0,4,1,4,268
36,3,8,-1,3,0,2,0,1552
36,3,9,1,2,6,3,6,1438
36,3,10,-1,7,5,6,5,3957
36,3,11,1,0,1,0,0,64
36,3,12,-1,7,4,7,5,3901
36,3,13,1,3,3,3,4,1756
36,3,14,-1,6,5,6,4,3444
36,3,15,1,0,2,0,1,129
36,3,16,-1,2,0,2,4,1044
36,3,17,1,0,1,1,1,73
36,3,18,-1,5,7,2,7,3031
36,3,19,1,0,0,0,1,1
36,3,20,-1,6,4,7,4,3388
36,3,21,1,0,1,0,0,64
36,3,22,-1,7,5,4,5,3941
36,3,23,1,3,6,3,7,1951
36,3,24,-1,7,6,7,7,4031
36,3,25,1,0,0,0,1,1
36,3,26,-1,2,4,2,1,1297
36,3,27,1,0,1,0,0,64
36,3,28,-1,4,5,4,7,2407
36,3,29,1,0,0,0,1,1
36,3,30,-1,4,7,4,5,2533
36,3,31,1,0,1,0,0,64
36,3,32,-1,3,2,1,2,1674
36,3,33,1,0,0,0,1,1
36,3,34,-1,7,7,5,7,4079
36,3,35,1,0,1,0,0,64
36,3,36,-1,1,2,2,2,658
36,3,37,1,0,0,0,1,1
36,3,38,-1,7,4,6,4,3892
36,3,39,1,0,1,0,0,64
36,3,40,-1,2,1,3,1,1113
36,3,41,1,0,0,0,1,1
36,3,42,-1,3,1,2,1,1617
36,3,43,1,0,1,0,0,64
36,3,44,-1,6,4,6,6,3382
36,3,45,1,0,0,0,1,1
