iteration,game_number,move_number,player,from_row,from_col,to_row,to_col,action_id
11,1,1,1,0,6,2,6,406
11,1,2,-1,7,0,3,0,3608
11,1,3,1,0,3,3,3,219
11,1,4,-1,7,4,2,4,3860
11,1,5,1,0,0,1,0,8
11,1,6,-1,7,5,3,5,3933
11,1,7,1,0,1,1,1,73
11,1,8,-1,2,4,6,4,1332
11,1,9,1,2,6,3,6,1438
11,1,10,-1,3,5,6,5,1909
11,1,11,1,0,2,0,1,129
11,1,12,-1,7,3,7,5,3837
11,1,13,1,0,4,1,4,268
11,1,14,-1,7,2,2,2,3730
11,1,15,1,0,1,0,0,64
11,1,16,-1,2,2,2,6,1174
11,1,17,1,1,4,1,5,781
11,1,18,-1,2,6,1,6,1422
11,1,19,1,0,0,0,1,1
11,1,20,-1,1,6,2,6,918
11,1,21,1,1,1,1,4,588
11,1,22,-1,2,6,1,6,1422
11,1,23,1,0,1,1,1,73
11,1,24,-1,1,6,0,6,902
11,1,25,1,1,1,4,1,609
11,1,26,-1,6,4,6,3,3379
11,1,27,1,4,1,4,0,2144
11,1,28,-1,7,7,6,7,4087
11,1,29,1,4,0,4,1,2081
11,1,30,-1,7,6,6,6,4022
11,1,31,1,4,1,2,1,2129
11,1,32,-1,7,1,7,4,3708
11,1,33,1,1,0,0,0,512
11,1,34,-1,7,4,7,2,3898
11,1,35,1,0,0,1,0,8
11,1,36,-1,7,2,7,0,3768
11,1,37,1,0,7,1,7,463
11,1,38,-1,6,6,4,6,3494
11,1,39,1,1,5,2,5,853
11,1,40,-1,7,5,7,7,3967
11,1,41,1,0,5,1,5,333
11,1,42,-1,6,5,6,6,3446
11,1,43,1,1,0,0,0,512
11,1,44,-1,7,0,3,0,3608
11,1,45,1,0,0,1,0,8
11,1,46,-1,6,3,6,2,3314
11,1,47,1,1,0,0,0,512
11,1,48,-1,3,0,6,0,1584
11,1,49,1,0,0,1,0,8
11,1,50,-1,6,7,4,7,3559
11,1,51,1,1,0,0,0,512
11,1,52,-1,7,7,7,4,4092
11,1,53,1,0,0,1,0,8
11,1,54,-1,6,2,4,2,3234
11,1,55,1,1,0,0,0,512
11,1,56,-1,6,0,7,0,3128
11,1,57,1,0,0,1,0,8
11,1,58,-1,4,2,0,2,2178
11,1,59,1,1,0,0,0,512
11,1,60,-1,0,2,1,2,138
11,1,61,1,0,0,1,0,8
11,1,62,-1,6,6,6,3,3507
11,1,63,1,1,0,0,0,512
11,1,64,-1,7,4,2,4,3860
11,1,65,1,0,0,1,0,8
11,1,66,-1,4,6,3,6,2462
11,1,67,1,1,0,0,0,512
11,1,68,-1,7,0,6,0,3632
11,1,69,1,0,0,1,0,8
11,1,70,-1,3,6,3,7,1951
11,1,71,1,1,0,0,0,512
11,1,72,-1,4,7,4,1,2529
11,1,73,1,0,0,1,0,8
11,1,74,-1,2,4,2,2,1298
11,1,75,1,1,0,0,0,512
11,1,76,-1,3,7,3,3,2011
11,1,77,1,0,0,1,0,8
11,1,78,-1,6,3,6,6,3318
11,1,79,1,1,0,0,0,512
11,1,80,-1,3,3,3,6,1758
11,1,81,1,0,0,1,0,8
11,1,82,-1,3,6,3,5,1949
11,1,83,1,1,0,0,0,512
11,1,84,-1,6,6,6,4,3508
11,1,85,1,0,0,1,0,8
11,1,86,-1,4,1,4,6,2150
11,1,87,1,1,0,0,0,512
11,1,88,-1,3,5,3,0,1880
11,1,89,1,0,0,1,0,8
11,1,90,-1,2,2,5,2,1194
11,1,91,1,1,0,0,0,512
11,1,92,-1,5,2,5,3,2731
11,1,93,1,0,0,1,0,8
11,1,94,-1,5,3,4,3,2787
11,1,95,1,1,0,0,0,512
11,1,96,-1,4,3,7,3,2299
11,1,97,1,0,0,1,0,8
11,1,98,-1,4,6,4,2,2466
11,1,99,1,1,0,0,0,512
11,1,100,-1,7,3,1,3,3787
11,1,101,1,0,0,1,0,8
11,1,102,-1,6,4,6,6,3382
11,1,103,1,1,0,0,0,512
11,1,104,-1,4,2,4,5,2213
11,1,105,1,0,0,1,0,8
11,1,106,-1,6,6,5,6,3502
11,1,107,1,1,0,0,0,512
11,1,108,-1,3,0,3,3,1563
11,1,109,1,0,0,1,0,8
11,1,110,-1,6,0,7,0,3128
11,1,111,1,1,0,0,0,512
11,1,112,-1,7,0,7,2,3642
11,1,113,1,0,0,1,0,8
11,1,114,-1,7,2,6,2,3762
11,1,115,1,1,0,0,0,512
11,1,116,-1,6,2,6,5,3253
11,1,117,1,0,0,1,0,8
11,1,118,-1,4,5,3,5,2397
11,1,119,1,1,0,0,0,512
11,1,120,-1,6,5,6,4,3444
11,1,121,1,0,0,1,0,8
11,1,122,-1,6,4,6,6,3382
11,1,123,1,1,0,0,0,512
11,1,124,-1,3,3,1,3,1739
11,1,125,1,0,0,1,0,8
11,1,126,-1,5,6,5,2,2986
11,1,127,1,1,0,0,0,512
11,1,128,-1,3,5,3,2,1882
11,1,129,1,0,0,1,0,8
11,1,130,-1,6,6,5,6,3502
11,1,131,1,1,0,0,0,512
11,1,132,-1,5,6,5,7,2991
11,1,133,1,0,0,1,0,8
11,1,134,-1,5,7,2,7,3031
11,1,135,1,1,0,0,0,512
11,1,136,-1,5,2,5,7,2735
11,1,137,1,0,0,1,0,8
11,1,138,-1,3,2,2,2,1682
11,1,139,1,1,0,0,0,512
11,1,140,-1,2,2,1,2,1162
11,1,141,1,0,0,1,0,8
11,1,142,-1,2,7,3,7,1503
11,1,143,1,1,0,0,0,512
11,1,144,-1,5,7,6,7,3063
11,1,145,1,0,0,1,0,8
11,1,146,-1,3,7,4,7,2023
11,1,147,1,1,0,0,0,512
11,1,148,-1,6,7,6,4,3572
11,1,149,1,0,0,1,0,8
11,1,150,-1,6,4,4,4,3364
11,1,151,1,1,0,0,0,512
11,1,152,-1,4,4,4,0,2336
11,1,153,1,0,0,1,0,8
11,1,154,-1,4,7,5,7,2543
11,1,155,1,1,0,0,0,512
11,1,156,-1,4,0,4,4,2084
11,1,157,1,0,0,1,0,8
11,1,158,-1,4,4,4,2,2338
11,1,159,1,1,0,0,0,512
11,1,160,-1,5,7,5,6,3054
11,1,161,1,0,0,1,0,8
11,1,162,-1,4,2,1,2,2186
11,1,163,1,1,0,0,0,512
11,1,164,-1,1,2,4,2,674
11,1,165,1,0,0,1,0,8
11,1,166,-1,4,2,5,2,2218
11,1,167,1,1,0,0,0,512
11,1,168,-1,5,2,5,1,2729
11,1,169,1,0,0,1,0,8
11,1,170,-1,5,6,2,6,2966
11,1,171,1,1,0,0,0,512
11,1,172,-1,5,1,5,2,2666
11,1,173,1,0,0,1,0,8
11,1,174,-1,5,2,5,0,2728
11,1,175,1,1,0,0,0,512
11,1,176,-1,2,6,0,6,1414
11,1,177,1,0,0,1,0,8
11,1,178,-1,5,0,5,4,2604
11,1,179,1,1,0,0,0,512
11,1,180,-1,0,6,6,6,438
11,1,181,1,0,0,1,0,8
11,1,182,-1,5,4,5,2,2858
11,1,183,1,1,0,0,0,512
11,1,184,-1,6,6,1,6,3470
11,1,185,1,0,0,1,0,8
11,1,186,-1,5,2,2,2,2706
11,1,187,1,1,0,0,0,512
11,1,188,-1,2,2,5,2,1194
11,1,189,1,0,0,1,0,8
11,1,190,-1,5,2,2,2,2706
11,1,191,1,1,0,0,0,512
11,1,192,-1,2,2,2,7,1175
11,1,193,1,0,0,1,0,8
11,1,194,-1,2,7,2,2,1490
11,1,195,1,1,0,0,0,512
11,1,196,-1,2,2,2,7,1175
11,1,197,1,0,0,1,0,8
11,1,198,-1,2,7,7,7,1535
11,1,199,1,1,0,0,0,512
11,1,200,-1,7,7,7,1,4089
11,1,201,1,0,0,1,0,8
11,1,202,-1,7,1,7,3,3707
11,1,203,1,1,0,0,0,512
11,1,204,-1,7,3,7,5,3837
11,1,205,1,0,0,1,0,8
11,1,206,-1,7,5,2,5,3925
11,1,207,1,1,0,0,0,512
11,1,208,-1,2,5,3,5,1373
11,1,209,1,0,0,1,0,8
11,1,210,-1,3,5,3,6,1886
11,1,211,1,1,0,0,0,512
11,1,212,-1,3,6,3,3,1947
11,1,213,1,0,0,1,0,8
11,1,214,-1,3,3,3,0,1752
