iteration,game_number,move_number,player,from_row,from_col,to_row,to_col,action_id
16,1,1,1,0,6,2,6,406
16,1,2,-1,7,7,6,7,4087
16,1,3,1,0,3,3,3,219
16,1,4,-1,7,5,2,5,3925
16,1,5,1,3,3,3,1,1753
16,1,6,-1,7,6,7,7,4031
16,1,7,1,0,0,1,0,8
16,1,8,-1,2,5,2,3,1363
16,1,9,1,2,6,3,6,1438
16,1,10,-1,6,7,6,1,3569
16,1,11,1,0,1,0,0,64
16,1,12,-1,7,4,4,4,3876
16,1,13,1,0,0,0,1,1
16,1,14,-1,6,1,6,5,3189
16,1,15,1,0,1,1,1,73
16,1,16,-1,7,7,6,7,4087
16,1,17,1,0,2,0,1,129
16,1,18,-1,4,4,4,2,2338
16,1,19,1,0,1,0,0,64
16,1,20,-1,7,3,3,3,3803
16,1,21,1,0,0,0,1,1
16,1,22,-1,3,3,3,4,1756
16,1,23,1,0,1,0,0,64
16,1,24,-1,6,5,6,4,3444
16,1,25,1,3,6,3,7,1951
16,1,26,-1,6,4,7,4,3388
16,1,27,1,0,0,0,1,1
16,1,28,-1,4,2,0,2,2178
16,1,29,1,0,1,0,0,64
16,1,30,-1,7,4,7,7,3903
16,1,31,1,0,0,0,1,1
16,1,32,-1,7,2,5,2,3754
16,1,33,1,0,1,0,0,64
16,1,34,-1,6,7,6,4,3572
16,1,35,1,0,0,0,1,1
16,1,36,-1,2,3,5,3,1259
16,1,37,1,0,1,0,0,64
16,1,38,-1,5,2,3,2,2714
16,1,39,1,0,0,0,1,1
16,1,40,-1,7,7,7,6,4094
16,1,41,1,0,1,0,0,64
16,1,42,-1,3,2,1,2,1674
16,1,43,1,0,0,0,1,1
16,1,44,-1,7,6,5,6,4014
16,1,45,1,0,1,0,0,64
16,1,46,-1,5,6,5,4,2988
16,1,47,1,0,0,0,1,1
16,1,48,-1,7,1,6,1,3697
16,1,49,1,0,1,0,0,64
16,1,50,-1,6,4,6,6,3382
16,1,51,1,0,0,0,1,1
16,1,52,-1,6,6,6,4,3508
16,1,53,1,0,1,0,0,64
16,1,54,-1,5,3,4,3,2787
16,1,55,1,0,0,0,1,1
16,1,56,-1,5,4,5,2,2858
16,1,57,1,0,1,0,0,64
16,1,58,-1,1,2,2,2,658
16,1,59,1,0,0,0,1,1
16,1,60,-1,5,2,5,3,2731
16,1,61,1,0,1,0,0,64
16,1,62,-1,7,0,7,4,3644
16,1,63,1,0,0,0,1,1
16,1,64,-1,6,4,3,4,3356
16,1,65,1,0,1,0,0,64
16,1,66,-1,6,1,6,4,3188
16,1,67,1,0,0,0,1,1
16,1,68,-1,6,4,6,5,3381
16,1,69,1,0,1,0,0,64
16,1,70,-1,3,4,3,6,1822
16,1,71,1,0,0,0,1,1
16,1,72,-1,6,5,6,3,3443
16,1,73,1,0,1,0,0,64
16,1,74,-1,4,3,4,6,2278
16,1,75,1,0,0,0,1,1
16,1,76,-1,7,4,2,4,3860
16,1,77,1,0,1,0,0,64
16,1,78,-1,2,4,4,4,1316
16,1,79,1,0,0,0,1,1
16,2,1,1,0,6,2,6,406
16,2,2,-1,7,6,6,6,4022
16,2,3,1,0,3,3,3,219
16,2,4,-1,7,4,2,4,3860
16,2,5,1,3,3,3,4,1756
16,2,6,-1,7,3,6,3,3827
16,2,7,1,0,4,1,4,268
16,2,8,-1,6,3,6,4,3316
16,2,9,1,0,0,1,0,8
16,2,10,-1,7,5,6,5,3957
16,2,11,1,0,1,1,1,73
16,2,12,-1,6,5,1,5,3405
16,2,13,1,2,6,3,6,1438
16,2,14,-1,6,4,6,5,3381
16,2,15,1,0,2,1,2,138
16,2,16,-1,7,0,3,0,3608
16,2,17,1,3,6,3,7,1951
16,2,18,-1,6,6,3,6,3486
16,2,19,1,1,2,1,3,651
16,2,20,-1,6,5,6,3,3443
16,2,21,1,0,5,0,4,324
16,2,22,-1,3,0,2,0,1552
16,2,23,1,0,4,0,3,259
16,2,24,-1,2,0,2,1,1041
16,2,25,1,1,0,0,0,512
16,2,26,-1,2,1,3,1,1113
16,2,27,1,0,0,1,0,8
16,2,28,-1,7,7,7,6,4094
16,2,29,1,1,0,0,0,512
16,2,30,-1,3,6,2,6,1942
16,2,31,1,0,0,1,0,8
16,2,32,-1,2,6,1,6,1422
16,2,33,1,0,3,0,2,194
16,2,34,-1,7,6,2,6,3990
16,2,35,1,0,2,0,1,129
16,2,36,-1,6,3,6,1,3313
16,2,37,1,0,1,0,0,64
16,2,38,-1,2,6,2,3,1427
16,2,39,1,0,0,0,1,1
16,2,40,-1,1,5,0,5,837
16,2,41,1,0,1,0,0,64
16,2,42,-1,1,6,3,6,926
16,2,43,1,0,0,0,1,1
16,2,44,-1,6,1,5,1,3177
16,2,45,1,0,1,0,0,64
16,2,46,-1,3,6,2,6,1942
16,2,47,1,0,0,0,1,1
16,2,48,-1,3,1,3,4,1628
16,2,49,1,0,1,0,0,64
16,2,50,-1,5,1,5,4,2668
16,2,51,1,0,7,1,7,463
16,2,52,-1,7,1,7,0,3704
16,2,53,1,0,0,0,1,1
16,2,54,-1,5,4,5,2,2858
16,2,55,1,1,0,0,0,512
16,2,56,-1,2,6,4,6,1446
16,2,57,1,0,0,1,0,8
16,2,58,-1,4,6,5,6,2478
16,2,59,1,0,1,0,0,64
16,2,60,-1,5,2,5,3,2731
16,2,61,1,0,0,0,1,1
16,2,62,-1,5,6,5,5,2989
16,2,63,1,0,1,0,0,64
16,2,64,-1,7,2,5,2,3754
16,2,65,1,0,0,0,1,1
16,2,66,-1,7,0,7,4,3644
16,2,67,1,0,1,0,0,64
16,2,68,-1,7,4,5,4,3884
16,2,69,1,0,0,0,1,1
16,2,70,-1,3,4,3,0,1816
16,2,71,1,0,1,0,0,64
16,2,72,-1,5,3,4,3,2787
16,2,73,1,0,0,0,1,1
16,2,74,-1,5,2,3,2,2714
16,2,75,1,0,1,0,0,64
16,2,76,-1,5,4,5,2,2858
16,2,77,1,0,0,0,1,1
16,2,78,-1,5,5,4,5,2917
16,2,79,1,1,0,0,0,512
16,2,80,-1,5,2,5,4,2732
16,2,81,1,0,0,1,0,8
16,2,82,-1,3,2,0,2,1666
16,2,83,1,1,0,0,0,512
16,2,84,-1,0,2,1,2,138
16,2,85,1,0,0,1,0,8
16,2,86,-1,4,3,4,0,2272
16,2,87,1,0,1,0,0,64
16,2,88,-1,4,5,1,5,2381
16,2,89,1,0,0,0,1,1
16,2,90,-1,4,0,4,5,2085
16,2,91,1,0,1,0,0,64
16,2,92,-1,3,0,3,2,1562
16,2,93,1,0,0,0,1,1
16,2,94,-1,3,2,7,2,1722
16,2,95,1,0,1,0,0,64
16,2,96,-1,5,4,2,4,2836
16,2,97,1,0,0,0,1,1
16,2,98,-1,1,5,0,5,837
16,2,99,1,0,1,0,0,64
16,2,100,-1,2,3,6,3,1267
16,2,101,1,0,0,0,1,1
16,2,102,-1,6,3,4,3,3299
16,2,103,1,0,1,0,0,64
16,2,104,-1,7,2,5,2,3754
16,2,105,1,0,0,0,1,1
16,2,106,-1,5,2,3,2,2714
16,2,107,1,1,0,0,0,512
16,2,108,-1,3,2,2,2,1682
16,2,109,1,0,0,1,0,8
16,2,110,-1,0,5,1,5,333
16,2,111,1,0,1,0,0,64
16,2,112,-1,2,4,7,4,1340
16,2,113,1,0,0,0,1,1
16,2,114,-1,7,4,2,4,3860
16,2,115,1,0,1,0,0,64
16,2,116,-1,4,3,6,3,2291
16,2,117,1,0,0,0,1,1
16,2,118,-1,2,4,4,4,1316
16,2,119,1,0,1,0,0,64
16,2,120,-1,6,3,5,3,3307
16,2,121,1,0,0,0,1,1
16,2,122,-1,4,4,4,0,2336
16,2,123,1,0,1,0,0,64
16,2,124,-1,4,0,4,2,2082
16,2,125,1,0,0,0,1,1
16,2,126,-1,5,3,7,3,2811
16,2,127,1,0,1,0,0,64
16,2,128,-1,7,3,6,3,3827
16,2,129,1,0,0,0,1,1
16,2,130,-1,4,2,6,2,2226
16,2,131,1,0,1,0,0,64
16,2,132,-1,2,2,2,3,1171
16,2,133,1,0,0,0,1,1
16,2,134,-1,6,3,6,7,3319
16,2,135,1,0,1,0,0,64
16,3,1,1,0,6,2,6,406
16,3,2,-1,7,5,4,5,3941
16,3,3,1,0,3,3,3,219
16,3,4,-1,4,5,5,5,2413
16,3,5,1,2,6,4,6,1446
16,3,6,-1,7,7,5,7,4079
16,3,7,1,0,0,6,0,48
16,3,8,-1,7,4,7,5,3901
16,3,9,1,0,2,1,2,138
16,3,10,-1,7,3,6,3,3827
16,3,11,1,3,3,3,1,1753
16,3,12,-1,6,3,6,2,3314
16,3,13,1,0,4,0,2,258
16,3,14,-1,7,1,6,1,3697
16,3,15,1,4,6,6,6,2486
16,3,16,-1,5,5,4,5,2917
16,3,17,1,6,0,6,5,3125
16,3,18,-1,5,7,7,7,3071
16,3,19,1,1,2,1,3,651
16,3,20,-1,7,0,0,0,3584
16,3,21,1,3,1,2,1,1617
16,3,22,-1,7,2,1,2,3722
16,3,23,1,0,1,1,1,73
16,3,24,-1,0,0,0,1,1
16,3,25,1,0,2,0,3,131
16,3,26,-1,7,7,5,7,4079
16,3,27,1,6,5,1,5,3405
16,3,28,-1,0,1,0,0,64
16,3,29,1,6,6,5,6,3502
16,3,30,-1,5,7,4,7,3047
16,3,31,1,0,3,0,2,194
16,3,32,-1,7,5,7,4,3964
16,3,33,1,0,2,0,3,131
16,3,34,-1,7,4,3,4,3868
16,3,35,1,0,3,0,2,194
16,3,36,-1,3,4,3,6,1822
16,3,37,1,0,2,1,2,138
16,3,38,-1,0,0,6,0,48
16,3,39,1,0,7,1,7,463
16,3,40,-1,4,7,4,6,2534
16,3,41,1,1,7,5,7,1007
16,3,42,-1,6,0,6,1,3121
16,3,43,1,5,7,7,7,3071
16,3,44,-1,6,1,6,5,3189
16,3,45,1,1,2,0,2,642
16,3,46,-1,7,6,6,6,4022
16,3,47,1,7,7,6,7,4087
16,3,48,-1,6,5,6,3,3443
16,3,49,1,0,2,0,3,131
16,3,50,-1,6,6,6,5,3509
16,3,51,1,0,3,0,2,194
16,3,52,-1,6,3,6,2,3314
16,3,53,1,0,2,1,2,138
16,3,54,-1,3,6,3,4,1948
16,3,55,1,1,2,0,2,642
16,3,56,-1,3,4,5,4,1836
16,3,57,1,0,2,1,2,138
16,3,58,-1,4,6,5,6,2478
16,3,59,1,1,2,0,2,642
16,3,60,-1,5,6,5,5,2989
