iteration,game_number,player,count
9,8,1,25
9,9,-1,25
9,9,1,25
9,10,-1,48
9,10,1,49
9,11,-1,41
9,11,1,42
9,12,-1,87
9,12,1,87
9,13,-1,37
9,13,1,38
9,14,-1,25
9,14,1,25
9,15,-1,32
9,15,1,33
9,16,-1,31
9,16,1,32
9,17,-1,51
9,17,1,52
9,18,-1,25
9,18,1,25
9,19,-1,92
9,19,1,93
9,20,-1,28
9,20,1,29
10,1,-1,25
10,1,1,25
10,2,-1,125
10,2,1,126
10,3,-1,25
10,3,1,25
10,4,-1,25
10,4,1,25
10,5,-1,25
10,5,1,25
10,6,-1,48
10,6,1,49
10,7,-1,39
10,7,1,40
10,8,-1,64
10,8,1,64
10,9,-1,58
10,9,1,58
10,10,-1,43
10,10,1,43
10,11,-1,49
10,11,1,49
10,12,-1,109
10,12,1,110
10,13,-1,25
10,13,1,25
10,14,-1,55
10,14,1,56
10,15,-1,25
10,15,1,25
10,16,-1,25
10,16,1,25
10,17,-1,25
10,17,1,25
10,18,-1,25
10,18,1,25
10,19,-1,42
10,19,1,43
10,20,-1,51
10,20,1,51
11,1,-1,117
11,1,1,118
11,2,-1,88
11,2,1,88
11,3,-1,55
11,3,1,56
11,4,-1,31
11,4,1,31
11,5,-1,93
11,5,1,94
11,6,-1,53
11,6,1,54
11,7,-1,66
11,7,1,67
11,8,-1,28
11,8,1,29
11,9,-1,25
11,9,1,25
11,10,-1,66
11,10,1,67
11,11,-1,67
11,11,1,68
11,12,-1,46
11,12,1,47
11,13,-1,76
11,13,1,77
11,14,-1,68
11,14,1,69
11,15,-1,92
11,15,1,93
11,16,-1,25
11,16,1,25
11,17,-1,55
11,17,1,55
11,18,-1,85
11,18,1,86
11,19,-1,115
11,19,1,115
11,20,-1,50
11,20,1,51
12,1,-1,25
12,1,1,25
12,2,-1,63
12,2,1,63
12,3,-1,38
12,3,1,38
12,4,-1,44
12,4,1,45
12,5,-1,25
12,5,1,25
12,6,-1,84
12,6,1,85
12,7,-1,28
12,7,1,29
12,8,-1,44
12,8,1,45
12,9,-1,57
12,9,1,57
12,10,-1,25
12,10,1,25
12,11,-1,56
12,11,1,57
12,12,-1,34
12,12,1,35
12,13,-1,29
12,13,1,30
12,14,-1,72
12,14,1,73
12,15,-1,25
12,15,1,25
12,16,-1,96
12,16,1,97
12,17,-1,25
12,17,1,25
12,18,-1,94
12,18,1,95
12,19,-1,25
12,19,1,25
12,20,-1,25
12,20,1,25
13,1,-1,28
13,1,1,29
13,2,-1,50
13,2,1,50
13,3,-1,36
13,3,1,37
13,4,-1,29
13,4,1,30
13,5,-1,25
13,5,1,25
13,6,-1,52
13,6,1,53
13,7,-1,79
13,7,1,80
13,8,-1,25
13,8,1,25
13,9,-1,25
13,9,1,25
13,10,-1,37
13,10,1,37
13,11,-1,77
13,11,1,78
13,12,-1,85
13,12,1,85
13,13,-1,44
13,13,1,44
13,14,-1,38
13,14,1,39
13,15,-1,40
13,15,1,41
13,16,-1,74
13,16,1,75
13,17,-1,41
13,17,1,41
13,18,-1,100
13,18,1,100
13,19,-1,77
13,19,1,78
13,20,-1,31
13,20,1,32
14,1,-1,49
14,1,1,49
14,2,-1,107
14,2,1,108
14,3,-1,103
14,3,1,104
14,4,-1,25
14,4,1,25
14,5,-1,25
14,5,1,25
14,6,-1,25
14,6,1,25
14,7,-1,31
14,7,1,32
14,8,-1,49
14,8,1,50
14,9,-1,108
14,9,1,109
14,10,-1,30
14,10,1,31
14,11,-1,25
14,11,1,25
14,12,-1,48
14,12,1,49
14,13,-1,112
14,13,1,112
14,14,-1,60
14,14,1,61
14,15,-1,25
14,15,1,25
14,16,-1,51
14,16,1,52
14,17,-1,25
14,17,1,25
14,18,-1,51
14,18,1,52
14,19,-1,80
14,19,1,80
14,20,-1,39
14,20,1,40
15,1,-1,25
15,1,1,25
15,2,-1,25
15,2,1,25
15,3,-1,34
15,3,1,34
15,4,-1,29
15,4,1,29
15,5,-1,77
15,5,1,77
15,6,-1,47
15,6,1,47
15,7,-1,25
15,7,1,25
15,8,-1,146
15,8,1,147
15,9,-1,39
15,9,1,39
15,10,-1,80
15,10,1,81
15,11,-1,40
15,11,1,40
15,12,-1,46
15,12,1,46
15,13,-1,31
15,13,1,32
15,14,-1,25
15,14,1,25
15,15,-1,34
15,15,1,35
15,16,-1,29
15,16,1,30
15,17,-1,25
15,17,1,25
15,18,-1,88
15,18,1,89
15,19,-1,32
15,19,1,33
15,20,-1,29
15,20,1,30
16,1,-1,39
16,1,1,40
16,2,-1,67
16,2,1,68
16,3,-1,43
16,3,1,43
16,4,-1,77
16,4,1,78
16,5,-1,30
16,5,1,31
16,6,-1,25
16,6,1,25
16,7,-1,83
16,7,1,84
16,8,-1,96
16,8,1,96
16,9,-1,69
16,9,1,70
16,10,-1,118
16,10,1,118
16,11,-1,63
16,11,1,63
16,12,-1,25
16,12,1,25
16,13,-1,28
16,13,1,29
16,14,-1,49
16,14,1,49
16,15,-1,25
16,15,1,25
16,16,-1,25
16,16,1,25
16,17,-1,105
16,17,1,106
16,18,-1,41
16,18,1,42
16,19,-1,65
16,19,1,65
16,20,-1,25
16,20,1,25
17,1,-1,25
17,1,1,25
17,2,-1,25
17,2,1,25
17,3,-1,33
17,3,1,34
17,4,-1,25
17,4,1,25
17,5,-1,64
17,5,1,64
17,6,-1,62
17,6,1,62
17,7,-1,31
17,7,1,32
17,8,-1,95
17,8,1,95
17,9,-1,25
17,9,1,25
17,10,-1,63
17,10,1,63
17,11,-1,25
17,11,1,25
17,12,-1,45
17,12,1,45
17,13,-1,111
17,13,1,111
17,14,-1,44
17,14,1,45
17,15,-1,33
17,15,1,34
17,16,-1,30
17,16,1,31
17,17,-1,25
17,17,1,25
17,18,-1,40
17,18,1,41
17,19,-1,25
17,19,1,25
17,20,-1,111
17,20,1,111
18,1,-1,25
18,1,1,25
18,2,-1,81
18,2,1,82
18,3,-1,25
18,3,1,25
18,4,-1,104
18,4,1,104
18,5,-1,25
18,5,1,25
18,6,-1,25
18,6,1,25
18,7,-1,25
18,7,1,25
18,8,-1,86
18,8,1,87
18,9,-1,89
18,9,1,89
18,10,-1,56
18,10,1,57
18,11,-1,97
18,11,1,97
18,12,-1,25
18,12,1,25
18,13,-1,25
18,13,1,25
18,14,-1,25
18,14,1,25
18,15,-1,84
18,15,1,84
18,16,-1,70
18,16,1,70
18,17,-1,63
18,17,1,64
18,18,-1,25
18,18,1,25
18,19,-1,57
18,19,1,58
18,20,-1,87
18,20,1,88
19,1,-1,43
19,1,1,44
19,2,-1,25
19,2,1,25
19,3,-1,95
19,3,1,96
19,4,-1,25
19,4,1,25
19,5,-1,64
19,5,1,64
19,6,-1,25
19,6,1,25
19,7,-1,41
19,7,1,42
19,8,-1,105
19,8,1,106
19,9,-1,73
19,9,1,73
19,10,-1,25
19,10,1,25
19,11,-1,41
19,11,1,42
19,12,-1,30
19,12,1,31
19,13,-1,45
19,13,1,46
19,14,-1,25
19,14,1,25
19,15,-1,46
19,15,1,47
19,16,-1,58
19,16,1,59
19,17,-1,90
19,17,1,91
19,18,-1,35
19,18,1,36
19,19,-1,73
19,19,1,73
19,20,-1,25
19,20,1,25
20,1,-1,25
20,1,1,25
20,2,-1,33
20,2,1,34
20,3,-1,30
20,3,1,31
20,4,-1,82
20,4,1,82
20,5,-1,73
20,5,1,74
20,6,-1,46
20,6,1,47
20,7,-1,111
20,7,1,112
20,8,-1,68
20,8,1,69
20,9,-1,61
20,9,1,61
20,10,-1,25
20,10,1,25
20,11,-1,86
20,11,1,86
20,12,-1,74
20,12,1,75
20,13,-1,50
20,13,1,50
20,14,-1,119
20,14,1,120
20,15,-1,33
20,15,1,34
20,16,-1,80
20,16,1,81
20,17,-1,98
20,17,1,98
20,18,-1,117
20,18,1,117
20,19,-1,47
20,19,1,48
20,20,-1,94
20,20,1,95
21,1,-1,73
21,1,1,74
21,2,-1,25
21,2,1,25
21,3,-1,54
21,3,1,55
21,4,-1,46
21,4,1,47
21,5,-1,73
21,5,1,73
21,6,-1,62
21,6,1,63
21,7,-1,25
21,7,1,25
21,8,-1,42
21,8,1,43
21,9,-1,25
21,9,1,25
21,10,-1,163
21,10,1,164
21,11,-1,63
21,11,1,63
21,12,-1,78
21,12,1,79
21,13,-1,25
21,13,1,25
21,14,-1,25
21,14,1,25
21,15,-1,25
21,15,1,25
21,16,-1,70
21,16,1,71
21,17,-1,25
21,17,1,25
21,18,-1,32
21,18,1,33
21,19,-1,51
21,19,1,52
21,20,-1,47
21,20,1,48
22,1,-1,78
22,1,1,78
22,2,-1,55
22,2,1,56
22,3,-1,39
22,3,1,39
22,4,-1,25
22,4,1,25
22,5,-1,62
22,5,1,62
22,6,-1,100
22,6,1,100
22,7,-1,77
22,7,1,78
22,8,-1,34
22,8,1,34
22,9,-1,99
22,9,1,100
22,10,-1,129
22,10,1,130
22,11,-1,55
22,11,1,56
22,12,-1,25
22,12,1,25
22,13,-1,92
22,13,1,92
22,14,-1,25
22,14,1,25
22,15,-1,38
22,15,1,39
22,16,-1,90
22,16,1,91
22,17,-1,70
22,17,1,71
22,18,-1,25
22,18,1,25
22,19,-1,63
22,19,1,64
22,20,-1,25
22,20,1,25
23,1,-1,74
23,1,1,74
23,2,-1,25
23,2,1,25
23,3,-1,49
23,3,1,49
23,4,-1,59
23,4,1,60
23,5,-1,48
23,5,1,49
23,6,-1,104
23,6,1,105
23,7,-1,41
23,7,1,42
23,8,-1,37
23,8,1,38
23,9,-1,32
23,9,1,32
23,10,-1,66
23,10,1,66
23,11,-1,56
23,11,1,56
23,12,-1,25
23,12,1,25
23,13,-1,25
23,13,1,25
23,14,-1,36
23,14,1,37
23,15,-1,124
23,15,1,125
23,16,-1,67
23,16,1,67
23,17,-1,40
23,17,1,41
23,18,-1,45
23,18,1,46
23,19,-1,50
23,19,1,51
23,20,-1,25
23,20,1,25
24,1,-1,25
24,1,1,25
24,2,-1,25
24,2,1,25
24,3,-1,32
24,3,1,32
24,4,-1,35
24,4,1,35
24,5,-1,25
24,5,1,25
24,6,-1,25
24,6,1,25
24,7,-1,51
24,7,1,51
24,8,-1,25
24,8,1,25
24,9,-1,31
24,9,1,32
24,10,-1,40
24,10,1,41
24,11,-1,71
24,11,1,71
24,12,-1,62
24,12,1,63
24,13,-1,39
24,13,1,40
24,14,-1,43
24,14,1,44
24,15,-1,34
24,15,1,34
24,16,-1,32
24,16,1,32
24,17,-1,37
24,17,1,37
24,18,-1,127
24,18,1,127
24,19,-1,43
24,19,1,44
24,20,-1,42
24,20,1,42
25,1,-1,35
25,1,1,36
25,2,-1,99
25,2,1,99
25,3,-1,59
25,3,1,60
25,4,-1,30
25,4,1,30
25,5,-1,41
25,5,1,42
25,6,-1,53
25,6,1,53
25,7,-1,25
25,7,1,25
25,8,-1,46
25,8,1,47
25,9,-1,45
25,9,1,45
25,10,-1,25
25,10,1,25
25,11,-1,25
25,11,1,25
25,12,-1,73
25,12,1,74
25,13,-1,143
25,13,1,144
25,14,-1,25
25,14,1,25
25,15,-1,25
25,15,1,25
25,16,-1,46
25,16,1,47
25,17,-1,25
25,17,1,25
25,18,-1,81
25,18,1,81
25,19,-1,25
25,19,1,25
25,20,-1,108
25,20,1,109
26,1,-1,56
26,1,1,57
26,2,-1,89
26,2,1,89
26,3,-1,60
26,3,1,60
26,4,-1,25
26,4,1,25
26,5,-1,40
26,5,1,41
26,6,-1,99
26,6,1,99
26,7,-1,25
26,7,1,25
26,8,-1,38
26,8,1,39
26,9,-1,25
26,9,1,25
26,10,-1,42
26,10,1,43
26,11,-1,35
26,11,1,36
26,12,-1,49
26,12,1,50
26,13,-1,80
26,13,1,80
26,14,-1,87
26,14,1,87
26,15,-1,59
26,15,1,60
26,16,-1,36
26,16,1,37
26,17,-1,25
26,17,1,25
26,18,-1,34
26,18,1,35
26,19,-1,62
26,19,1,63
26,20,-1,78
26,20,1,79
27,1,-1,103
27,1,1,104
27,2,-1,29
27,2,1,30
27,3,-1,90
27,3,1,91
27,4,-1,101
27,4,1,101
27,5,-1,73
27,5,1,73
27,6,-1,115
27,6,1,116
27,7,-1,33
27,7,1,34
27,8,-1,25
27,8,1,25
27,9,-1,30
27,9,1,30
27,10,-1,112
27,10,1,112
