eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step
1.663580298423767,41.4686,4.558,4.558,0.18674136321195145,50
1.0543569326400757,40.9667,4.614,4.614,0.3734827264239029,100
0.8915647268295288,40.9226,4.618,4.618,0.5602240896358543,150
0.7994822263717651,41.1292,4.595,4.595,0.7469654528478058,200
0.7313193678855896,41.4061,4.565,4.565,0.9337068160597572,250
0.6670325398445129,40.9028,4.621,4.621,1.119514472455649,300
0.6026344299316406,41.0586,4.603,4.603,1.3062558356676004,350
0.5369177460670471,40.8481,4.627,4.627,1.4929971988795518,400
0.4734945595264435,41.0199,4.608,4.608,1.6797385620915033,450
0.41775351762771606,40.8717,4.624,4.624,1.8664799253034547,500
0.3586694598197937,41.1654,4.591,4.591,2.052287581699346,550
0.3184305429458618,41.0959,4.599,4.599,2.239028944911298,600
0.2694525718688965,40.806,4.632,4.632,2.425770308123249,650
0.22473931312561035,40.6236,4.652,4.652,2.612511671335201,700
0.19308079779148102,40.6718,4.647,4.647,2.799253034547152,750
0.17166252434253693,40.4722,4.67,4.67,2.9859943977591037,800
0.16603520512580872,40.2709,4.693,4.693,3.171802054154995,850
0.14973044395446777,40.5426,4.662,4.662,3.358543417366947,900
0.14452311396598816,40.7277,4.641,4.641,3.545284780578898,950
0.13880617916584015,40.3837,4.68,4.68,3.7320261437908497,1000
0.13549493253231049,40.9155,4.619,4.619,3.918767507002801,1050
0.13189895451068878,40.6767,4.646,4.646,4.104575163398692,1100
0.12881505489349365,40.8426,4.628,4.628,4.291316526610644,1150
0.13035403192043304,40.8118,4.631,4.631,4.478057889822596,1200
0.12577563524246216,40.8618,4.625,4.625,4.6647992530345475,1250
0.12277128547430038,40.9159,4.619,4.619,4.851540616246498,1300
0.12292628735303879,40.7797,4.635,4.635,5.03734827264239,1350
0.12407530844211578,40.7619,4.637,4.637,5.224089635854342,1400
0.12579557299613953,40.7646,4.636,4.636,5.4108309990662935,1450
